productcode,productprice
B-BIND5645A,1626
B-CUTT5000,149
B-CUTT5001,149
B-CUTT5002,149
B-CUTT5003,149
B-CUTT5010,280
B-CUTT5011,280
B-CUTT5012,280
B-CUTT5013,280
B-CUTT5030,710
B-CUTT5031,710
B-CUTT5032,710
B-CUTT5033,710
B-CUTT5100,801
B-CUTT5101,801
B-CUTT5102,801
B-CUTT5103,801
B-CUTT5110,1279
B-CUTT5111,1279
B-CUTT5112,1279
B-CUTT5113,1279
B-CUTT5120,1755
B-CUTT5121,1755
B-CUTT5122,1755
B-CUTT5123,1755
B-SHRE5115A,659
B-SHRE5120A,559
B-SHRE5210,2199
B-SHRE5240A,4699
B-SHRE5250A,5599
BIND7000,54
BIND7005,54
BIND7010,54
BIND7020,54
BIND7030,54
BIND7040,54
BIND7060,54
BIND7080,66.5
BIND7100,66.5
BIND7105,66.5
BIND7110,66.5
BIND7120,66.5
BIND7130,66.5
BIND7160,66.5
BIND7200,81.25
BIND7205,81.25
BIND7210,81.25
BIND7220,81.25
BIND7230,81.25
BIND7240,108
BIND7250,81.25
BIND7260,81.25
BIND7270,94
BIND7290,108
BIND7300,94
BIND7305,94
BIND7310,94
BIND7320,94
BIND7330,94
BIND7360,94
BIND7400,108
BIND7405,108
BIND7410,108
BIND7420,108
BIND7455,142
BIND7460,108
BIND7465,142
BIND7470,142
BIND7480,142
BIND7485,142
BIND7490,142
BIND7520,142
BOARD1000,2.19
BOARD1020,105.71
BOARD1025,206.91
BOARD2000,20.25
BOARD2000B,2.19
BOARD2005,36.75
BOARD2010,93.25
BOARD2015,135.25
BOARD2020,156.5
BOARD2025,271.5
BOARD2030,308.25
BOARD2031,334.95
BOARD2032,399.16
BOARD2035,160.75
BOARD2040,176.5
BOARD2045,306.5
BOARD2050,343.95
BOARD2055,388.95
BOARD2060,453.95
COIL1000,5.75
COIL1005,6.75
COIL1010,7.75
COIL1015,8.95
COIL1020,10.5
COIL1025,11.5
COIL1030,12.5
COIL1035,13
COIL1040,14.25
COIL1045,17.15
COIL1050,19.5
COIL1055,21.65
COIL1060,26
COIL1065,32.45
COIL1070,36
COIL1075,42
COIL1080,44.45
COIL1085,50
COIL1200,17
COIL1205,18.25
COIL1210,21.45
COIL1215,24.25
COIL1220,29.75
COIL1225,32.5
COIL1230,34
COIL1235,39
COIL1240,42
COIL1245,46
COIL1250,53.65
COIL1255,59.75
COIL1260,68.99
COIL1265,88
COIL1270,100
COIL1275,115
COIL1280,130
COIL1285,139
COIL1400,6.28
COIL1405,6.62
COIL1410,7.84
COIL1415,8.36
COIL1420,10.98
COIL1425,12.72
COIL1430,13.94
COIL1435,14.64
COIL1440,15.68
COIL1450,20.56
COIL1455,23.18
COIL1460,27.88
COIL1600,16.34
COIL1605,17.96
COIL1610,21.22
COIL1615,23.4
COIL1620,29.94
COIL1625,34.84
COIL1630,38.12
COIL1635,40.3
COIL1640,43
COIL1650,39.74
COIL1655,63.16
COIL1660,76.24
COIL2000,5.75
COIL2005,6.75
COIL2010,7.75
COIL2015,8.95
COIL2020,10.5
COIL2025,11.5
COIL2030,12.5
COIL2035,13
COIL2040,14.25
COIL2045,17.15
COIL2050,19.5
COIL2055,21.65
COIL2060,26
COIL2065,32.45
COIL2070,36
COIL2075,42
COIL2080,44.45
COIL2085,50
COIL2200,17
COIL2205,18.25
COIL2210,21.45
COIL2215,24.25
COIL2220,29.75
COIL2225,32.5
COIL2230,34
COIL2235,39
COIL2240,42
COIL2250,53.65
COIL2255,59.75
COIL2260,68.99
COIL2265,88
COIL2270,100
COIL2275,115
COIL2280,130
COIL2285,139
COIL2400,6.28
COIL2405,6.62
COIL2410,7.84
COIL2415,8.36
COIL2420,10.98
COIL2425,12.72
COIL2430,13.94
COIL2435,14.64
COIL2440,15.68
COIL2450,20.56
COIL2455,23.18
COIL2460,27.88
COIL2600,16.34
COIL2610,21.22
COIL2615,23.4
COIL2620,29.94
COIL2625,34.84
COIL2630,38.12
COIL2635,40.3
COIL2640,43
COIL2650,39.74
COIL2655,63.16
COIL2660,76.24
COIL3000,5.75
COIL3005,6.75
COIL3010,7.75
COIL3015,8.95
COIL3020,10.5
COIL3025,11.5
COIL3030,12.5
COIL3035,13
COIL3040,14.25
COIL3045,17.15
COIL3050,19.5
COIL3055,21.65
COIL3060,26
COIL3065,32.45
COIL3070,36
COIL3075,42
COIL3080,44.45
COIL3085,50
COIL3200,17
COIL3205,18.25
COIL3210,21.45
COIL3215,24.25
COIL3220,29.75
COIL3225,32.5
COIL3230,34
COIL3235,39
COIL3240,42
COIL3250,53.65
COIL3255,59.75
COIL3260,68.99
COIL3265,88
COIL3270,100
COIL3275,115
COIL3280,130
COIL3285,139
COIL3400,6.28
COIL3405,6.62
COIL3410,7.84
COIL3415,8.36
COIL3420,10.98
COIL3425,12.72
COIL3430,13.94
COIL3435,14.64
COIL3440,15.68
COIL3450,20.56
COIL3455,23.18
COIL3460,27.88
COIL3600,16.34
COIL3610,21.22
COIL3615,23.4
COIL3620,29.94
COIL3625,34.84
COIL3630,38.12
COIL3635,40.3
COIL3640,43
COIL3650,39.74
COIL3655,63.16
COIL3660,76.24
COIL4000,5.75
COIL4005,6.75
COIL4010,7.75
COIL4015,8.95
COIL4020,10.5
COIL4025,11.5
COIL4030,12.5
COIL4035,13
COIL4040,14.25
COIL4045,17.15
COIL4050,19.5
COIL4055,21.65
COIL4060,26
COIL4065,32.45
COIL4070,36
COIL4075,42
COIL4080,44.45
COIL4085,50
COIL4200,17
COIL4205,18.25
COIL4210,21.45
COIL4215,24.25
COIL4220,29.75
COIL4225,32.5
COIL4230,34
COIL4235,39
COIL4240,42
COIL4250,53.65
COIL4255,59.75
COIL4260,68.99
COIL4265,88
COIL4270,100
COIL4275,115
COIL4280,130
COIL4285,139
COIL4400,6.28
COIL4405,6.62
COIL4410,7.84
COIL4415,8.36
COIL4420,10.98
COIL4425,12.72
COIL4430,13.94
COIL4435,14.64
COIL4440,15.68
COIL4450,20.56
COIL4455,23.18
COIL4460,27.88
COIL4600,16.34
COIL4610,21.22
COIL4615,23.4
COIL4620,29.94
COIL4625,34.84
COIL4630,38.12
COIL4635,40.3
COIL4640,43
COIL4650,39.74
COIL4655,63.16
COIL4660,76.24
COIL5000,5.75
COIL5005,6.75
COIL5010,7.75
COIL5015,8.95
COIL5020,10.5
COIL5025,11.5
COIL5030,12.5
COIL5035,13
COIL5040,14.25
COIL5045,17.15
COIL5050,19.5
COIL5055,21.65
COIL5060,26
COIL5065,32.45
COIL5070,36
COIL5075,42
COIL5080,44.45
COIL5085,50
COIL5200,17
COIL5205,18.25
COIL5210,21.45
COIL5215,24.25
COIL5220,29.75
COIL5225,32.5
COIL5230,34
COIL5235,39
COIL5240,42
COIL5250,53.65
COIL5255,59.75
COIL5260,68.99
COIL5265,88
COIL5270,100
COIL5275,115
COIL5280,130
COIL5285,139
COIL5400,6.28
COIL5405,6.62
COIL5410,7.84
COIL5415,8.36
COIL5420,10.98
COIL5425,12.72
COIL5430,13.94
COIL5435,14.64
COIL5440,15.68
COIL5450,20.56
COIL5455,23.18
COIL5460,27.88
COIL5600,16.34
COIL5610,21.22
COIL5615,23.4
COIL5620,29.94
COIL5625,34.84
COIL5630,38.12
COIL5635,40.3
COIL5640,43
COIL5650,39.74
COIL5655,63.16
COIL5660,76.24
COIL6000,5.75
COIL6005,6.75
COIL6010,7.75
COIL6015,8.95
COIL6020,10.5
COIL6025,11.5
COIL6030,12.5
COIL6035,13
COIL6040,14.25
COIL6045,17.15
COIL6050,19.5
COIL6055,21.65
COIL6060,26
COIL6065,32.45
COIL6070,36
COIL6075,42
COIL6080,44.45
COIL6085,50
COIL6200,17
COIL6205,18.25
COIL6210,21.45
COIL6215,24.25
COIL6220,29.75
COIL6225,32.5
COIL6230,34
COIL6235,39
COIL6240,42
COIL6250,53.65
COIL6255,59.75
COIL6260,68.99
COIL6265,88
COIL6270,100
COIL6275,115
COIL6280,130
COIL6285,139
COIL6400,6.28
COIL6405,6.62
COIL6410,7.84
COIL6415,8.36
COIL6420,10.98
COIL6425,12.72
COIL6430,13.94
COIL6435,14.64
COIL6440,15.68
COIL6450,20.56
COIL6455,23.18
COIL6460,27.88
COIL6600,16.34
COIL6610,21.22
COIL6615,23.4
COIL6620,29.94
COIL6625,34.84
COIL6630,38.12
COIL6635,40.3
COIL6640,43
COIL6650,39.74
COIL6655,63.16
COIL6660,76.24
COIL7000,5.75
COIL7005,6.75
COIL7010,7.75
COIL7015,8.95
COIL7020,10.5
COIL7025,11.5
COIL7030,12.5
COIL7035,13
COIL7040,14.25
COIL7045,17.15
COIL7050,19.5
COIL7055,21.65
COIL7060,26
COIL7065,32.45
COIL7070,36
COIL7075,42
COIL7080,44.45
COIL7085,50
COIL7200,17
COIL7205,18.25
COIL7210,21.45
COIL7215,24.25
COIL7220,29.75
COIL7225,32.5
COIL7230,34
COIL7235,39
COIL7240,42
COIL7250,53.65
COIL7255,59.75
COIL7260,68.99
COIL7265,88
COIL7270,100
COIL7275,115
COIL7280,130
COIL7285,139
COIL7400,6.28
COIL7405,6.62
COIL7410,7.84
COIL7415,8.36
COIL7420,10.98
COIL7425,12.72
COIL7430,13.94
COIL7435,14.64
COIL7440,15.68
COIL7450,20.56
COIL7455,23.18
COIL7460,27.88
COIL7600,16.34
COIL7605,17.96
COIL7610,21.22
COIL7615,23.4
COIL7620,29.94
COIL7625,34.84
COIL7630,38.12
COIL7635,40.3
COIL7640,43
COIL7650,39.74
COIL7655,63.16
COIL7660,76.24
COIL8000,5.75
COIL8005,6.75
COIL8010,7.75
COIL8015,8.95
COIL8020,10.5
COIL8025,11.5
COIL8030,12.5
COIL8035,13
COIL8040,14.25
COIL8045,17.15
COIL8050,19.5
COIL8055,21.65
COIL8060,26
COIL8065,32.45
COIL8070,36
COIL8075,42
COIL8080,44.45
COIL8085,50
COIL9000,5.75
COIL9005,6.75
COIL9010,7.75
COIL9015,8.95
COIL9020,10.5
COIL9025,11.5
COIL9030,12.5
COIL9035,13
COIL9040,14.25
COIL9045,17.15
COIL9050,19.5
COIL9055,21.65
COIL9060,26
COIL9065,32.45
COIL9070,36
COIL9075,42
COIL9080,44.45
COIL9085,50
COIL91000,7.62
COIL91010,9.72
COIL91020,10.5
COIL91025,17.3
COIL91030,18.48
COIL91035,19.84
COIL91040,20.98
COIL91050,28.02
COIL91055,31.12
COIL91060,37.52
COIL91065,44.44
COIL91070,49.44
COIL91080,62.2
COIL91085,74.62
COIL92000,7.62
COIL92010,9.72
COIL92020,10.5
COIL92025,17.3
COIL92030,18.48
COIL92035,19.84
COIL92040,20.98
COIL92050,28.02
COIL92055,31.12
COIL92060,37.52
COIL92065,44.44
COIL92070,49.44
COIL92080,62.2
COIL92085,74.62
COIL95000,7.62
COIL95010,9.72
COIL95020,10.5
COIL95025,17.3
COIL95030,18.48
COIL95035,19.84
COIL95040,20.98
COIL95050,28.02
COIL95055,31.12
COIL95060,37.52
COIL95065,44.44
COIL95070,49.44
COIL95080,62.2
COIL95085,74.62
COIL96000,7.62
COIL96010,9.72
COIL96020,10.5
COIL96025,17.3
COIL96030,18.48
COIL96035,19.84
COIL96040,20.98
COIL96050,28.02
COIL96055,31.12
COIL96060,37.52
COIL96065,44.44
COIL96070,49.44
COIL96080,62.2
COIL96085,74.62
COUNT1000,2.95
COUNT1002,8.5
COUNT1004,6.5
COUNT1008,0
COUNT1010,31.99
COUNT1012,9
COVA2010,39.99
COVA2030,39.99
COVA2050,39.99
COVA4000,68
COVA4000A,68
COVA4005,68
COVA4010,68
COVA4015,68
COVA4020,68
COVA4025,68
COVA4026,68
COVA4030,68
COVA4035,68
COVA4040,68
COVA4045,68
COVA4050,68
COVA4055,68
COVA4060,68
COVA4065,68
COVA4070,68
COVA4075,68
COVA4076,68
COVA4080,68
COVA4085,68
COVA4090,68
COVA4095,68
COVA6000,140
COVA6000A,140
COVA6001,140
COVA6002,140
COVA6003,140
COVA6004,140
COVA6005,140
COVA6006,140
COVA6007,140
COVA6008,70
COVA6009,70
COVA6010,70
COVA6011,70
COVA6012,75
COVA6013,75
COVA6014,75
COVA6015,75
COVA6016,75
COVA6017,75
COVA6018,75
COVA6019,75
COVA6020,42.5
COVA6021,42.5
COVA6022,42.5
COVA6023,42.5
COVA6025,70
COVA6026,70
COVA6027,70
COVA6028,70
COVA6029,70
COVA6030,75
COVA6031,75
COVA6032,75
COVA6033,75
COVA6034,77.5
COVA6035,77.5
COVA6040,110
COVA6042,110
COVA6044,110
COVA6046,110
COVA6048,55
COVA6050,55
COVA6052,60
COVA6054,60
COVA6056,60
COVA6058,60
COVA6060,35
COVA6062,35
COVA6075,80
COVA6076,85
COVA6078,60
COVA6079-W,80
COVA6080,80
COVA6081,85
COVA6083,60
COVA6084-W,80
COVA6085,80
COVA6088,60
COVA6089-W,80
COVA6090,80
COVA6093,60
COVA6094-W,80
COVA6100,140
COVA6101,140
COVA6102,140
COVA6103,140
COVA6104,140
COVA6105,140
COVA6106,140
COVA6107,140
COVA6108,70
COVA6109,70
COVA6110,70
COVA6111,70
COVA6112,75
COVA6113,75
COVA6114,75
COVA6115,75
COVA6116,75
COVA6117,75
COVA6118,75
COVA6119,75
COVA6120,42.5
COVA6121,42.5
COVA6122,42.5
COVA6123,42.5
COVA6125,70
COVA6126,70
COVA6127,70
COVA6128,70
COVA6129,70
COVA6140,110
COVA6142,110
COVA6144,110
COVA6146,110
COVA6148,55
COVA6150,55
COVA6152,60
COVA6154,60
COVA6156,60
COVA6158,60
COVA6160,35
COVA6162,35
COVA6175,80
COVA6178,60
COVA6179-W,80
COVA6180,80
COVA6183,60
COVA6184-W,80
COVA6185,80
COVA6188,60
COVA6189-W,80
COVA6190,80
COVA6193,60
COVA6194-W,80
COVA6200,140
COVA6201,140
COVA6202,140
COVA6203,140
COVA6204,140
COVA6205,140
COVA6206,140
COVA6207,140
COVA6208,70
COVA6209,70
COVA6210,70
COVA6211,70
COVA6212,75
COVA6213,75
COVA6214,75
COVA6215,75
COVA6216,75
COVA6217,75
COVA6218,75
COVA6219,75
COVA6220,42.5
COVA6221,42.5
COVA6222,42.5
COVA6223,42.5
COVA6225,70
COVA6226,70
COVA6227,70
COVA6228,70
COVA6229,70
COVA6240,110
COVA6242,110
COVA6244,110
COVA6246,110
COVA6248,55
COVA6250,55
COVA6252,60
COVA6254,60
COVA6256,60
COVA6258,60
COVA6260,35
COVA6262,35
COVA6300,140
COVA6301,140
COVA6302,140
COVA6303,140
COVA6304,140
COVA6305,140
COVA6306,140
COVA6307,140
COVA6308,70
COVA6309,70
COVA6310,70
COVA6311,70
COVA6312,75
COVA6313,75
COVA6314,75
COVA6315,75
COVA6316,75
COVA6317,75
COVA6318,75
COVA6319,75
COVA6320,42.5
COVA6321,42.5
COVA6322,42.5
COVA6323,42.5
COVA6325,70
COVA6326,70
COVA6327,70
COVA6328,70
COVA6329,70
COVA6340,110
COVA6342,110
COVA6344,110
COVA6346,110
COVA6348,55
COVA6350,55
COVA6352,60
COVA6354,60
COVA6356,60
COVA6358,60
COVA6360,35
COVA6362,35
COVA6500,140
COVA6501,140
COVA6502,140
COVA6503,140
COVA6504,140
COVA6505,140
COVA6506,140
COVA6507,140
COVA6508,70
COVA6509,70
COVA6510,70
COVA6511,70
COVA6512,75
COVA6513,75
COVA6514,75
COVA6515,75
COVA6516,75
COVA6517,75
COVA6518,75
COVA6519,75
COVA6520,42.5
COVA6521,42.5
COVA6522,42.5
COVA6523,42.5
COVA6525,70
COVA6526,70
COVA6527,70
COVA6528,70
COVA6529,70
COVA6540,110
COVA6542,110
COVA6544,110
COVA6546,110
COVA6548,55
COVA6550,55
COVA6552,60
COVA6554,60
COVA6556,60
COVA6558,60
COVA6560,35
COVA6562,35
COVA6602,140
COVA6603,140
COVA6604,140
COVA6605,140
COVA6606,140
COVA6607,140
COVA6625,70
COVA6626,70
COVA6627,70
COVA6642,110
COVA6644,110
COVA6646,110
COVA6801,126
COVA6802,126
COVA6803,126
COVA6804,126
COVA6805,126
COVA6811,100.8
COVA6812,100.8
COVA6813,100.8
COVA6814,100.8
COVA6815,100.8
COVA6821,81
COVA6822,81
COVA6823,81
COVA6824,81
COVA6825,81
COVA6831,110
COVA6832,110
COVA6833,110
COVA6834,110
COVA6835,110
COVA6841,55
COVA6842,55
COVA6843,55
COVA6844,55
COVA6845,55
COVA6851,60
COVA6852,66
COVA6853,60
COVA6854,60
COVA6855,60
COVA6861,70
COVA6862,70
COVA6863,70
COVA6864,70
COVA6865,70
COVA6871,75
COVA6872,75
COVA6873,75
COVA6874,75
COVA6875,75
COVA7500,11.25
COVA7501,11.25
COVA7502,11.95
COVA7503,11.95
COVA7510,12.95
COVA7511,12.95
COVE001,15.5
COVE002,14.33
COVE002A,12.14
COVE002B,12.69
COVE002C,12.89
COVE002D,15.67
COVE002E,24.14
COVE002F,20.47
COVE002G,20.47
COVE002H,21.03
COVE002I,21.03
COVE003,22.67
COVE004,15.69
COVE005,18.56
COVE005A,28.44
COVE010,17.42
COVE011,25.75
COVE011A,25.75
COVE015,19.08
COVE016,27.42
COVE016A,27.42
COVE017,19.11
COVE017A,22.42
COVE018,32.25
COVE020,34.61
COVE021,22.67
COVE021A,23.83
COVE021B,23.83
COVE022,15.99
COVE023,35
COVE024,37.25
COVE400,30
COVE400b,32
COVE403,30
COVE404,32
COVE405,30
COVE408,30
COVE409,32
COVE410,30
COVE411,30
COVE412,32
COVE414,30
COVE416,32
COVE418,32
COVE420,32
COVE423,30
COVE424,32
COVE500,35.5
COVE500b,38
COVE500C,29.99
COVE501,35.5
COVE502,38
COVE505,35.5
COVE506,38
COVE507,35.5
COVE508,38
COVE508A,29.99
COVE509,35.5
COVE510,38
COVE512,35.5
COVE513,29.99
COVE514,35.5
COVE514A,38
COVE514B,29.99
COVE515,38
COVE517,29.99
COVE600,27.75
COVE600B,30.5
COVE600C,25.99
COVE600D,45.58
COVE601,27.75
COVE602,25.99
COVE60200C,25.99
COVE603,30.5
COVE605,27.75
COVE605-DB,27.75
COVE606,30.5
COVE606-DB,30.5
COVE608,27.75
COVE609,30.5
COVE610A,25.99
COVE611,25.99
COVE611A,30.5
COVE611B,27.75
COVE611C,25.99
COVE611E,27.75
COVE612,27.75
COVE613,30.5
COVE613A,25.99
COVE614,27.75
COVE614A,30.5
COVE615,27.75
COVE616,30.5
COVE616A,29.99
COVE617,30.5
COVE619,27.75
COVE700,20.25
COVE700A,20.25
COVE701,23.25
COVE701A,23.25
COVE702,20.25
COVE703,23.25
COVE704,20.25
COVE705,23.25
COVE706,20.25
COVE707,23.25
COVE708,20.25
COVE709,23.25
COVE710,20.25
COVE710A,20.25
COVE711,23.25
COVE711A,23.25
COVE712,20.25
COVE713,23.25
COVE714,20.25
COVE715,23.25
COVE716,20.25
COVE717,23.25
COVE718,20.25
COVE719,23.25
COVE720,17.5
COVE721,20.5
COVE722,17.5
COVE723,20.5
COVE724,17.5
COVE725,20.5
COVE726,17.5
COVE727,20.5
COVE730,17.5
COVE730A,17.5
COVE731,20.5
COVE731A,20.5
COVE732,17.5
COVE733,20.5
COVE734,17.5
COVE735,20.5
COVE736,17.5
COVE737,20.5
COVE738,17.5
COVE739,20.5
COVE740,17.5
COVE741,20.5
COVE742,17.5
COVE743,20.5
COVE750,17.5
COVE751,20.5
COVE752,17.5
COVE753,20.5
COVE754,17.5
COVE755,20.5
COVE900,84.4
COVE9002,26.04
COVE9002A,15.42
COVE9004,29.94
COVE9010,27.99
COVE902,84.4
COVE9020,70.32
COVE9021E,33.64
COVE904,84.4
COVE911B,47.94
COVE9400,54.2
COVE9403,54.2
COVE9411,54.2
COVE9412,52.22
COVE9414,54.2
COVE9426,54.2
COVE9500,100.64
COVE9500B,110.04
COVE9501,100.64
COVE9502,110.04
COVE9505,100.64
COVE9507,100.64
COVE9508,110.04
COVE9509,100.64
COVE9510,110.04
COVE9512,100.64
COVE9606,45.58
COVE9613,45.58
COVE9615,46.44
COVE9616,45.58
CUSTOM,0
E-AIR000100,399.95
E-AIR000101,337.5
E-AIR000102,357.5
E-BIND1002,569
E-BIND1003,2163
E-BIND1004,233.1
E-BIND1005,669
E-BIND1007,2038.98
E-BIND1008,292.16
E-BIND1009,223.38
E-BIND1011,59.95
E-BIND1013,86.47
E-BIND1014,370.58
E-BIND1025,995
E-BIND1055,1839
E-BIND1065,1499
E-BIND1085,446.62
E-BIND1150,299
E-BIND1155,1018
E-BIND1160,599
E-BIND1420,895
E-BIND1427,399
E-BIND1435,275.18
E-BIND1448,79.85
E-BIND1455,467.29
E-BIND1460,287.92
E-BIND1462,88.06
E-BIND1464,176.76
E-BIND1465,413.1
E-BIND1470,49.85
E-BIND1500,8000
E-BIND1510,9900
E-BIND1600,199
E-BIND1700,535
E-BIND1705,895
E-BIND1710,1195
E-BIND1715,2495
E-BIND1720,4995
E-BIND1725,0
E-BIND1730,645
E-BIND1735,1095
E-BIND1737,65
E-BIND1740,125
E-BIND1745,1395
E-BIND1800,1199
E-BIND1802,1999
E-BIND1803,1299
E-BIND1804,1189
E-BIND1805,899
E-BIND1806,719
E-BIND1807,399
E-BIND1808,689
E-BIND1809,559
E-BIND1810,649
E-BIND1811,157
E-BIND1812,899
E-BIND1813,2999
E-BIND1815,1799
E-BIND1818,1799
E-BIND1820,559
E-BIND1825,499
E-BIND1828,999
E-BIND1830,1465
E-BIND1835,499
E-BIND1837,299
E-BIND1839,279
E-BIND1840,10999
E-BIND1845,6399
E-BIND1850,289
E-BIND1860,29999
E-BIND2000,1095
E-BIND2010,1095
E-BIND2040,725
E-BIND2045,2295
E-BIND2050,855
E-BIND2055,1390
E-BIND2100,2050
E-BIND2110,940
E-BIND2115,195
E-BIND2120,2690
E-BIND2160,975
E-BIND2170,1699
E-BIND2225,3235
E-BIND2230,395
E-BIND2235,925
E-BIND2240,525
E-BIND2300,4850
E-BIND2305,4990
E-BIND2310,4190
E-BIND2315,1935
E-BIND2330,3770
E-BIND2340,6790
E-BIND2400,1075
E-BIND2410,525
E-BIND2430,535
E-BIND2440,295
E-BIND2445,1495
E-BIND2475,2475
E-BIND2480,3225
E-BIND2481,3225
E-BIND3005,799
E-BIND3006,1099
E-BIND3010,299
E-BIND3020,199
E-BIND3510,127
E-BIND3520,13999
E-BIND4000,209
E-BIND4005,239
E-BIND4010,235
E-BIND4015,399
E-BIND4017,259
E-BIND4020,319
E-BIND4021,319
E-BIND4022,125
E-BIND4024,349
E-BIND4025,899
E-BIND4028,198.75
E-BIND4029,549
E-BIND4030,250
E-BIND4032,259
E-BIND4035,869
E-BIND4036,1715
E-BIND4038,1175
E-BIND4039,395
E-BIND4040,259.99
E-BIND4042,469
E-BIND4044,959
E-BIND4046,123
E-BIND4047,42.85
E-BIND4048,1199
E-BIND4050,279
E-BIND4055,489
E-BIND4060,180
E-BIND4065,529
E-BIND4066,465
E-BIND4067,490
E-BIND4068,59
E-BIND4070,355
E-BIND4075,169
E-BIND4076,299
E-BIND4077,189
E-BIND4078,169
E-BIND4080,2025
E-BIND4090,925
E-BIND4500,2345
E-BIND4510,2345
E-BIND4525,1272.68
E-BIND4530,499
E-BIND4540,699
E-BIND4541,2345
E-BIND4550,3729
E-BIND4555,6811
E-BIND4560,495
E-BIND4570,1020
E-BIND4571,827
E-BIND4580,3912
E-BIND4585,0
E-BIND4586,399
E-BIND4590,3195
E-BIND4595,1995
E-BIND4600,3499
E-BIND4605,528
E-BIND4610,4399
E-BIND4615,459
E-BIND4620,1595
E-BIND4625,1495
E-BIND4635,2895
E-BIND4640,1379
E-BIND4645,459
E-BIND4650,5999
E-BIND4655,3499
E-BIND4660,5999
E-BIND5500,272.75
E-BIND5502,167
E-BIND5504,252
E-BIND5505,692
E-BIND5510,945
E-BIND5511,399
E-BIND5512,439
E-BIND5513,721
E-BIND5514,1781
E-BIND5515,335
E-BIND5516,349
E-BIND5517,699
E-BIND5518,1149
E-BIND5519,1199
E-BIND5520,299
E-BIND5522,225
E-BIND5524,225
E-BIND5530,299
E-BIND5534,99.85
E-BIND5535,229
E-BIND5536,1154
E-BIND5537,1249
E-BIND5538,259
E-BIND5540,319
E-BIND5542,295
E-BIND5544,325
E-BIND5545,550
E-BIND5550,671
E-BIND5555,675
E-BIND5560,159
E-BIND5570,239
E-BIND5580,239
E-BIND5590,319
E-BIND5600,115
E-BIND5620,681
E-BIND5650,699
E-BIND5660,1099
E-BIND5662,699
E-BIND5664,699
E-BIND5666,699
E-BIND5668,699
E-BIND5670,699
E-BIND5672,699
E-BIND5674,699
E-BIND5676,699
E-BIND5678,715
E-BIND5680,3779
E-BIND5682,7000
E-BIND5700,1099
E-BIND5701,359
E-BIND6007,148.85
E-BIND6015,49.99
E-BIND6036,529
E-BIND6045,999
E-BIND6065,949
E-BIND6080,1699
E-BIND6085,419
E-BIND6095,73.68
E-BIND6130,239
E-BIND6135,259
E-BIND6270,3599
E-BIND6280,1699
E-BIND6290,1699
E-BIND6300,1699
E-BIND6310,1995
E-BIND6320,5657
E-BIND6325,4265
E-BIND6330,1799
E-BIND6420,2899
E-BIND6440,2146.65
E-BIND6450,4099
E-BIND6460,2684.44
E-BIND6635,19995
E-BIND6640,30533.17
E-BIND6645,46062.43
E-BIND6650,35616.84
E-BIND6655,24599
E-BIND6660,28730
E-BIND6665,37350
E-BIND6670,21950
E-BIND6675,59800
E-BIND6680,63795
E-BIND7020,6795
E-BIND7025,7199
E-BIND7030,5275
E-BIND7032,5725
E-BIND7035,4795
E-BIND7045,19350
E-BIND7050,17095
E-BIND7200,99
E-BIND7205,695
E-BIND7210,295
E-BIND7502,179.85
E-BIND7504,114.95
E-BIND7505,229.95
E-BIND7506,199.85
E-BIND7507,367.45
E-BIND7508,295
E-BIND7509,249
E-BIND7511,259
E-BIND7540,699.95
E-BIND7544,329
E-BIND7545,439
E-BIND7547,475
E-BIND7550,199.95
E-BIND7555,975
E-BIND7560,79.95
E-BIND7570,399.95
E-BIND7580,129.95
E-BIND7590,199.95
E-BIND7595,99.95
E-BIND7596,54.75
E-BIND7600,114.95
E-BIND7605,59.85
E-BIND7610,329
E-BIND7611,159
E-BIND7612,109
E-BIND8000,2995
E-BIND8020,2895
E-BIND8070,595
E-BIND8080,4295
E-BIND8305,1850
E-BIND8310,1650
E-BIND8315,659
E-BIND8320,699
E-BIND8700,59.5
E-BIND8701,109.99
E-BIND8702,299.99
E-BIND8703,109
E-BIND8704,196.95
E-BIND8706,223.25
E-BIND8708,589.99
E-BIND8710,295
E-BIND8712,369
E-BIND8714,0
E-BIND8715,125.75
E-BIND8716,88.95
E-BIND8718,329.99
E-BIND8719,149.75
E-BIND8720,329.99
E-BIND8721,309
E-BIND8722,309
E-BIND8723,339
E-BIND8724,629.99
E-BIND8725,141.5
E-BIND8726,655
E-BIND8728,315
E-BIND8730,435
E-BIND8732,629.99
E-BIND8734,799.99
E-BIND8736,1039.99
E-BIND8740,469
E-BIND9100,2295
E-BIND9105,4495
E-BIND9110,3720
E-BIND9115,4005
E-BIND9120,10830
E-BIND9125,10830
E-BIND9175,410
E-BIND9180,570
E-BIND9600,355
E-BIND9601,355
E-BIND9602,340
E-BIND9603,89
E-BIND9604,679
E-BIND9605,239
E-BIND9610,229
E-BIND9620,174
E-BIND9630,249
E-BIND9640,299
E-BIND9641,149
E-BOAR1000,883.5
E-BOARD1055A,145
E-BOARD1060A,267
E-BOARD1065A,493
E-BOARD1070A,612.1
E-BOARD1075,164
E-BOARD1080,269
E-BOARD1085,517
E-BOARD1090,622.89
E-BOARD1095,2040.45
E-BOARD1100,2449.25
E-BOARD1300A,349
E-BOARD1302A,139
E-BOARD1304A,87.75
E-BOOK1000,899
E-BOOK2045,1099
E-BOOK2050,749
E-BOOK2080,6749
E-BOOK2095,7379
